recv_rate,max_rate,rate_limit,time_s
341844305.0,351669404.0,1998234.0,695
340820251.0,351669404.0,1838376.0,700
343861805.0,351669404.0,1926293.0,705
343206557.0,351669404.0,2014210.0,710
340043825.0,351669404.0,1853074.0,715
345383059.0,351669404.0,1940991.0,720
342087030.0,351669404.0,2028908.0,725
341362711.0,351669404.0,2116825.0,730
340389646.0,351669404.0,1947479.0,735
340812162.0,351669404.0,1791681.0,740
346171152.0,351669404.0,1879598.0,745
342615368.0,351669404.0,1967515.0,750
341518093.0,351669404.0,2055432.0,755
340367201.0,351669404.0,1890998.0,760
343692089.0,351669404.0,1978915.0,765
335348882.0,351669404.0,1820602.0,770
340482763.0,351669404.0,1674954.0,775
342708049.0,351669404.0,1762871.0,780
341483691.0,351669404.0,1850788.0,785
342084652.0,351669404.0,1938705.0,790
339992499.0,351669404.0,1783609.0,795
341184169.0,351669404.0,1871526.0,800
341928901.0,351669404.0,1959443.0,805
339286202.0,351669404.0,1802688.0,810
344408755.0,351669404.0,1890605.0,815
343307044.0,351669404.0,1978522.0,820
335219782.0,351669404.0,1820241.0,825
341625227.0,351669404.0,1908158.0,830
340422399.0,351669404.0,1755506.0,835
341069194.0,351669404.0,1615066.0,840
345116586.0,351669404.0,1702983.0,845
344932946.0,351669404.0,1790900.0,850
342494888.0,351669404.0,1878817.0,855
341289468.0,351669404.0,1966734.0,860
342975112.0,351669404.0,2054651.0,865
341049513.0,351669404.0,1890279.0,870
340409477.0,351669404.0,1739057.0,875
347917296.0,351669404.0,1826974.0,880
343170665.0,351669404.0,1914891.0,885
341109081.0,351669404.0,1761700.0,890
341725831.0,351669404.0,1849617.0,895
340156181.0,351669404.0,1701648.0,900
343045567.0,351669404.0,1789565.0,905
341461507.0,351669404.0,1877482.0,910
341310696.0,351669404.0,1965399.0,915
340575550.0,351669404.0,1808168.0,920
344873633.0,351669404.0,1896085.0,925
344315084.0,351669404.0,1984002.0,930
342108695.0,351669404.0,2071919.0,935
339966810.0,351669404.0,1906166.0,940
344902234.0,351669404.0,1994083.0,945
342779560.0,351669404.0,2082000.0,950
340711420.0,351669404.0,1915440.0,955
341088977.0,351669404.0,1762205.0,960
344563728.0,351669404.0,1850122.0,965
343132381.0,351669404.0,1938039.0,970
341876895.0,351669404.0,2025956.0,975
340331316.0,351669404.0,1863880.0,980
341092415.0,351669404.0,1714770.0,985
339285887.0,351669404.0,1577589.0,990
341157055.0,351669404.0,1665506.0,995
340137166.0,351669404.0,1532266.0,1000
345472741.0,351669404.0,1620183.0,1005
344292896.0,351669404.0,1708100.0,1010
339301538.0,351669404.0,1571452.0,1015
341037984.0,351669404.0,1445736.0,1020
348723015.0,351669404.0,1533653.0,1025
345017634.0,351669404.0,1621570.0,1030
345692035.0,351669404.0,1709487.0,1035
345729483.0,351669404.0,1797404.0,1040
344614543.0,351669404.0,1885321.0,1045
342352111.0,351669404.0,1973238.0,1050
343826720.0,351669404.0,2061155.0,1055
343085073.0,351669404.0,2149072.0,1060
342899962.0,351669404.0,2236989.0,1065
340315314.0,351669404.0,2058030.0,1070
341107526.0,351669404.0,1893388.0,1075
342105234.0,351669404.0,1981305.0,1080
341111843.0,351669404.0,1822801.0,1085
340446609.0,351669404.0,1676977.0,1090
345048835.0,351669404.0,1764894.0,1095
342997090.0,351669404.0,1852811.0,1100
345907102.0,351669404.0,1940728.0,1105
345295407.0,351669404.0,2028645.0,1110
343555025.0,351669404.0,2116562.0,1115
343247469.0,351669404.0,2204479.0,1120
339346620.0,351669404.0,2028121.0,1125
341739500.0,351669404.0,2116038.0,1130
341558348.0,351669404.0,2203955.0,1135
338856359.0,351669404.0,2027639.0,1140
340980498.0,351669404.0,1865428.0,1145
344223976.0,351669404.0,1953345.0,1150
344708426.0,351669404.0,2041262.0,1155
341690462.0,351669404.0,2129179.0,1160
342462874.0,351669404.0,2217096.0,1165
341525078.0,351669404.0,2305013.0,1170
337171812.0,351669404.0,2120612.0,1175
